education,age,treatment,welfare,female,ega,income,emp_priv,emp_pub,pubtransfer,preschool
6,67,0,8,0,5,10,0,0,1,0
5,36,0,8,1,7,8,1,0,0,0
4,73,1,9,1,10,3,0,0,1,0
3,67,1,6,0,10,8,0,0,1,0
1,29,0,8,1,9,1,0,1,0,0
4,70,1,5,1,9,3,0,0,1,0
3,46,0,2,0,7,10,1,0,0,0
5,60,0,4,0,11,7,0,0,1,0
3,42,0,9,0,8,12,1,0,0,1
3,50,1,5,1,7,8,1,0,0,0
3,67,0,4,1,12,2,0,0,1,0
3,58,0,10,0,11,11,0,1,0,0
5,54,0,6,0,11,8,0,1,0,0
4,63,1,8,0,7,6,1,0,0,0
5,26,0,10,1,6,1,0,1,1,0
1,69,1,5,1,12,6,0,0,1,0
5,39,1,3,1,8,8,0,1,1,0
3,44,0,9,0,10,9,1,0,0,0
3,71,1,7,0,11,9,0,0,1,0
5,70,1,3,1,13,9,0,0,1,0
4,38,1,7,1,8,8,0,0,1,1
3,31,0,8,0,10,9,1,0,0,1
2,18,0,10,1,4,1,1,0,1,0
3,30,1,6,1,7,7,1,0,0,0
5,63,0,6,1,13,2,0,0,1,0
5,41,0,6,1,6,12,0,0,1,0
5,70,0,5,0,10,6,0,0,1,0
1,38,0,7,0,5,12,1,0,0,0
5,45,1,8,0,10,11,0,0,0,0
5,64,1,7,0,5,4,0,0,1,0
5,38,1,3,0,11,7,0,1,0,1
5,37,0,6,1,9,8,0,1,0,0
5,44,1,6,1,11,4,0,0,1,0
6,35,1,2,1,10,10,1,0,0,1
4,74,0,8,1,11,1,0,0,1,0
5,70,1,6,1,7,7,0,0,1,0
5,30,0,7,0,9,7,0,1,0,0
5,73,0,4,1,8,11,0,0,1,0
3,56,0,9,0,6,8,1,0,0,0
3,59,0,4,0,5,11,1,0,0,0
2,45,0,10,1,10,7,1,0,0,0
3,42,1,7,0,10,13,0,1,0,1
6,77,1,6,0,11,6,0,0,1,0
3,48,1,6,1,8,11,0,1,0,0
5,69,1,6,1,9,2,0,0,1,0
5,62,0,8,1,10,8,0,1,0,0
4,78,0,5,0,12,9,0,0,1,0
3,70,1,10,1,12,5,0,0,1,0
5,60,0,7,0,5,12,0,1,0,0
3,31,1,6,0,9,1,0,0,1,0
3,75,1,8,0,9,4,0,0,1,0
1,77,0,7,1,7,6,0,0,1,0
4,39,0,6,0,8,8,1,0,0,0
